PMY,Replicate,Halo
PMY2909,1,7.151
PMY2909,2,7.44
PMY2909,3,7.961
PMY2910,1,2.202
PMY2910,2,3.796
PMY2910,3,2.6430000000000002
PMY2911,1,7.720999999999999
PMY2911,2,7.755
PMY2911,3,8.145
PMY2912,1,6.141
PMY2912,2,8.128
PMY2912,3,5.617
PMY2913,1,6.968000000000001
PMY2913,2,7.57
PMY2913,3,8.004
PMY2914,1,6.46
PMY2914,2,2.923
PMY2914,3,6.9030000000000005
PMY2915,1,6.5009999999999994
PMY2915,2,3.0280000000000005
PMY2915,3,2.346
PMY2916,1,2.3859999999999997
PMY2916,2,4.609
PMY2916,3,3.182
PMY2917,1,3.2790000000000004
PMY2917,2,3.9019999999999997
PMY2917,3,1.768
PMY2918,1,4.332
PMY2918,2,4.473
PMY2918,3,2.955
PMY2919,1,8.059000000000001
PMY2919,2,3.2139999999999995
PMY2919,3,7.872
PMY2920,1,7.292999999999999
PMY2920,2,5.327000000000001
PMY2920,3,2.271
PMY2921,1,2.276
PMY2921,2,4.263
PMY2921,3,3.0410000000000004
PMY2922,1,7.946000000000001
PMY2922,2,6.090999999999999
PMY2922,3,8.171
PMY2923,1,2.487
PMY2923,2,5.14
PMY2923,3,3.102
PMY2924,1,3.558
PMY2924,2,3.004
PMY2924,3,6.032
PMY2925,1,1.148
PMY2925,2,0.7950000000000002
PMY2925,3,1.826
PMY2926,1,7.2330000000000005
PMY2926,2,1.8739999999999999
PMY2926,3,7.555
PMY2927,1,7.023000000000001
PMY2927,2,3.7939999999999996
PMY2927,3,7.21
PMY2928,1,3.188
PMY2928,2,2.3869999999999996
PMY2928,3,4.582
PMY2929,1,5.563
PMY2929,2,3.344
PMY2929,3,6.861999999999999
PMY2930,1,1.153
PMY2930,2,0.3909999999999999
PMY2930,3,1.351
PMY2931,1,8.24
PMY2931,2,8.229000000000001
PMY2931,3,2.545
PMY2932,1,2.0729999999999995
PMY2932,2,1.536
PMY2932,3,0.921
PMY2933,1,8.197
PMY2933,2,7.498
