"";"Strains";"Replicate";"Day";"Area";"Mean";"Min";"Max";"cleared";"plate_coverage";"age";"date"
"291";"24";2;1;0,344;20354,114;219;65486;0;NA;NA;"10_29_2019"
"292";"24";1;1;0,425;20863,907;99;65517;0;NA;NA;"10_29_2019"
"293";"27";2;1;0,27;19248,576;18406;20890;0;NA;NA;"10_29_2019"
"294";"27";1;1;0,387;19891,717;18668;22906;0;NA;NA;"10_29_2019"
"295";"26";2;1;0,269;19878,469;17935;24059;0;NA;NA;"10_29_2019"
"296";"26";1;1;0,404;20105,478;18371;23420;0;NA;NA;"10_29_2019"
"297";"29";2;1;0,302;19964,867;124;65470;0;NA;NA;"10_29_2019"
"298";"29";1;1;0,414;20422,974;151;65521;0;NA;NA;"10_29_2019"
"299";"28";2;1;0,159;19430,091;18396;27323;0;NA;NA;"10_29_2019"
"300";"28";1;1;0,193;19384,049;18521;27577;0;NA;NA;"10_29_2019"
"301";"25";2;2;0,187;19460,792;18611;23816;0;NA;NA;"10_29_2019"
"302";"25";1;2;0,298;19636,716;18623;26396;0;NA;NA;"10_29_2019"
"303";"24";2;2;0,219;19349,786;18321;25107;0;NA;NA;"10_29_2019"
"304";"24";1;2;0,43;20174,849;18665;25696;0;NA;NA;"10_29_2019"
"305";"27";2;2;0,277;18911,747;18262;21453;0;NA;NA;"10_29_2019"
"306";"27";1;2;0,378;19498,666;12913;23018;0;NA;NA;"10_29_2019"
"307";"26";2;2;0,394;19443,459;17872;26657;1;NA;NA;"10_29_2019"
"308";"26";1;2;0,266;19222,705;18307;25939;1;NA;NA;"10_29_2019"
"309";"29";2;2;0,295;18956,958;18420;24623;1;NA;NA;"10_29_2019"
"310";"29";1;2;0,282;19379,43;18441;27230;0;NA;NA;"10_29_2019"
"311";"28";2;2;0,178;19221,981;18480;27709;1;NA;NA;"10_29_2019"
"312";"28";1;2;0,184;19211,408;18530;27784;1;NA;NA;"10_29_2019"
"313";"25";2;3;0,199;19306,597;18602;22538;1;NA;NA;"10_29_2019"
"314";"25";1;3;0,3;19465,192;18661;26451;1;NA;NA;"10_29_2019"
"315";"24";2;3;0,268;19016,109;18152;25227;1;NA;NA;"10_29_2019"
"316";"24";1;3;0,265;19353,019;18588;27122;1;NA;NA;"10_29_2019"
"317";"27";2;3;0,277;18784,571;18342;22201;1;NA;NA;"10_29_2019"
"318";"27";1;3;0,383;19310,536;18301;24498;1;NA;NA;"10_29_2019"
"319";"26";2;3;0,498;19152,869;17862;25712;1;NA;NA;"10_29_2019"
"320";"26";1;3;0,418;19120,171;18360;25683;1;NA;NA;"10_29_2019"
"321";"29";2;3;0,367;18897,377;18367;24070;1;NA;NA;"10_29_2019"
"322";"29";1;3;0,412;19122,556;18567;26824;1;NA;NA;"10_29_2019"
